DOLocationID,PULocationID,RatecodeID,VendorID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
43,142,1,1,2.5,3.0,8.0,0.3,0.5,1,2,N,0.0,0.0,11.8,2021-01-01 00:36:12,2021-01-01 00:30:10,2.1,2021-01-01 13:00:10,2021-01-01 13:06:12,362
151,238,1,1,0.0,0.5,3.0,0.3,0.5,1,2,N,0.0,0.0,4.3,2021-01-01 00:52:19,2021-01-01 00:51:20,.20,2021-01-01 13:21:20,2021-01-01 13:22:19,59
165,132,1,1,0.0,0.5,42.0,0.3,0.5,1,1,N,8.65,0.0,51.95,2021-01-01 01:11:06,2021-01-01 00:43:30,14.7,2021-01-01 13:13:30,2021-01-01 13:41:06,1656
132,138,1,1,0.0,0.5,29.0,0.3,0.5,0,1,N,6.05,0.0,36.35,2021-01-01 00:31:01,2021-01-01 00:15:48,10.6,2021-01-01 12:45:48,2021-01-01 13:01:01,913
33,68,1,2,2.5,0.5,16.5,0.3,0.5,1,1,N,4.06,0.0,24.36,2021-01-01 00:48:21,2021-01-01 00:31:49,4.94,2021-01-01 13:01:49,2021-01-01 13:18:21,992
68,224,1,1,2.5,3.0,8.0,0.3,0.5,1,1,N,2.35,0.0,14.15,2021-01-01 00:24:30,2021-01-01 00:16:29,1.6,2021-01-01 12:46:29,2021-01-01 12:54:30,481
157,95,1,1,0.0,0.5,16.0,0.3,0.5,1,2,N,0.0,0.0,17.3,2021-01-01 00:17:28,2021-01-01 00:00:28,4.1,2021-01-01 12:30:28,2021-01-01 12:47:28,1020
40,90,1,1,2.5,3.0,18.0,0.3,0.5,1,2,N,0.0,0.0,21.8,2021-01-01 00:30:34,2021-01-01 00:12:29,5.7,2021-01-01 12:42:29,2021-01-01 13:00:34,1085
129,97,1,1,0.0,0.5,27.5,0.3,0.5,1,4,N,0.0,"",28.8,2021-01-01 01:00:13,2021-01-01 00:39:16,9.1,2021-01-01 13:09:16,2021-01-01 13:30:13,1257
142,263,1,1,2.5,3.0,12.0,0.3,0.5,2,1,N,3.15,0.0,18.95,2021-01-01 00:39:46,2021-01-01 00:26:12,2.7,2021-01-01 12:56:12,2021-01-01 13:09:46,814
255,"",1,2,2.5,0.5,20.5,0.3,0.5,3,1,N,0.0,0.0,24.3,2021-01-01 00:38:07,2021-01-01 00:15:52,6.11,2021-01-01 12:45:52,2021-01-01 13:08:07,1335
80,255,1,2,0.0,0.5,7.0,0.3,0.5,2,1,N,2.49,0.0,10.79,2021-01-01 00:53:45,2021-01-01 00:46:36,1.21,2021-01-01 13:16:36,2021-01-01 13:23:45,429
166,138,1,1,0.0,2.5,24.5,0.3,0.5,2,2,N,0.0,6.12,33.92,2021-01-01 00:32:58,2021-01-01 00:10:46,7.4,2021-01-01 12:40:46,2021-01-01 13:02:58,1332
