DOLocationID,PULocationID,RatecodeID,congestion_surcharge,extra,fare_amount,improvement_surcharge,mta_tax,passenger_count,payment_type,store_and_fwd_flag,tip_amount,tolls_amount,total_amount,tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,tpep_pickup_datetime_IST,tpep_dropoff_datetime_IST,diff
43,142,1,2.5,3.0,8.0,0.3,0.5,1,2,N,0.0,0.0,11.8,2021-01-01 00:36:12,2021-01-01 00:30:10,2.1,2021-01-01 13:00:10,2021-01-01 13:06:12,362
151,238,1,0.0,0.5,3.0,0.3,0.5,1,2,N,0.0,0.0,4.3,2021-01-01 00:52:19,2021-01-01 00:51:20,.20,2021-01-01 13:21:20,2021-01-01 13:22:19,59
165,132,1,0.0,0.5,42.0,0.3,0.5,1,1,N,8.65,0.0,51.95,2021-01-01 01:11:06,2021-01-01 00:43:30,14.7,2021-01-01 13:13:30,2021-01-01 13:41:06,1656
132,138,1,0.0,0.5,29.0,0.3,0.5,0,1,N,6.05,0.0,36.35,2021-01-01 00:31:01,2021-01-01 00:15:48,10.6,2021-01-01 12:45:48,2021-01-01 13:01:01,913
68,224,1,2.5,3.0,8.0,0.3,0.5,1,1,N,2.35,0.0,14.15,2021-01-01 00:24:30,2021-01-01 00:16:29,1.6,2021-01-01 12:46:29,2021-01-01 12:54:30,481
157,95,1,0.0,0.5,16.0,0.3,0.5,1,2,N,0.0,0.0,17.3,2021-01-01 00:17:28,2021-01-01 00:00:28,4.1,2021-01-01 12:30:28,2021-01-01 12:47:28,1020
40,90,1,2.5,3.0,18.0,0.3,0.5,1,2,N,0.0,0.0,21.8,2021-01-01 00:30:34,2021-01-01 00:12:29,5.7,2021-01-01 12:42:29,2021-01-01 13:00:34,1085
129,97,1,0.0,0.5,27.5,0.3,0.5,1,4,N,0.0,"",28.8,2021-01-01 01:00:13,2021-01-01 00:39:16,9.1,2021-01-01 13:09:16,2021-01-01 13:30:13,1257
142,263,1,2.5,3.0,12.0,0.3,0.5,2,1,N,3.15,0.0,18.95,2021-01-01 00:39:46,2021-01-01 00:26:12,2.7,2021-01-01 12:56:12,2021-01-01 13:09:46,814
166,138,1,0.0,2.5,24.5,0.3,0.5,2,2,N,0.0,6.12,33.92,2021-01-01 00:32:58,2021-01-01 00:10:46,7.4,2021-01-01 12:40:46,2021-01-01 13:02:58,1332
137,249,1,2.5,3.0,9.0,0.3,0.5,0,3,N,0.0,0.0,12.8,2021-01-01 00:25:36,2021-01-01 00:16:27,2.2,2021-01-01 12:46:27,2021-01-01 12:55:36,549
163,107,1,2.5,3.0,17.0,0.3,0.5,0,1,N,10.0,0.0,30.8,2021-01-01 01:01:37,2021-01-01 00:37:59,3.6,2021-01-01 13:07:59,2021-01-01 13:31:37,1418
3,132,1,0.0,0.5,52.0,0.3,0.5,2,2,N,0.0,6.12,59.42,2021-01-01 01:04:46,2021-01-01 00:37:40,19.1,2021-01-01 13:07:40,2021-01-01 13:34:46,1626
226,48,1,2.5,3.0,20.0,0.3,0.5,1,2,N,0.0,0.0,23.8,2021-01-01 01:16:33,2021-01-01 00:54:24,5.4,2021-01-01 13:24:24,2021-01-01 13:46:33,1329
226,132,1,0.0,0.5,39.0,0.3,0.5,1,2,N,0.0,0.0,40.3,2021-01-01 00:46:32,2021-01-01 00:24:30,14.3,2021-01-01 12:54:30,2021-01-01 13:16:32,1322
82,138,1,0.0,0.5,12.0,0.3,0.5,4,2,N,0.0,0.0,13.3,2021-01-01 00:18:08,2021-01-01 00:06:08,3,2021-01-01 12:36:08,2021-01-01 12:48:08,720
90,151,1,2.5,3.0,21.0,0.3,0.5,1,2,N,0.0,0.0,24.8,2021-01-01 00:45:43,2021-01-01 00:25:09,6.1,2021-01-01 12:55:09,2021-01-01 13:15:43,1234
169,169,1,0.0,0.0,0.0,0.0,0.0,1,3,N,0.0,0.0,0.0,2021-01-01 00:03:19,2021-01-01 00:03:13,.00,2021-01-01 12:33:13,2021-01-01 12:33:19,6
42,238,1,0.0,0.0,17.2,0.3,0.5,1,1,N,0.0,0.0,18.0,2021-01-01 01:04:49,2021-01-01 00:52:42,.00,2021-01-01 13:22:42,2021-01-01 13:34:49,727
140,137,1,2.5,2.5,7.5,0.3,0.5,1,2,N,0.0,0.0,10.8,2021-01-01 00:15:31,2021-01-01 00:08:51,2,2021-01-01 12:38:51,2021-01-01 12:45:31,400
234,114,1,2.5,3.0,5.5,0.3,0.5,2,2,N,0.0,0.0,9.3,2021-01-01 00:34:12,2021-01-01 00:30:32,1,2021-01-01 13:00:32,2021-01-01 13:04:12,220
